Class Label,Accuracy,Precision,Recall,F1-score,MCC
5S_rRNA,0.92,0.517,0.909,0.659,0.649
5_8S_rRNA,1,0.995,1,0.998,0.997
tRNA,0.957,0.643,1,0.783,0.783
ribozyme,0.946,0.847,0.36,0.505,0.531
CD-box,0.97,0.832,0.77,0.8,0.785
miRNA,0.95,0.811,0.45,0.579,0.582
Intron_gpI,0.978,0.825,0.867,0.846,0.834
Intron_gpII,0.989,0.891,0.98,0.933,0.929
scaRNA,0.927,0.596,0.14,0.227,0.264
HACA-box,0.912,0.455,0.715,0.556,0.526
riboswitch,0.981,0.958,0.79,0.866,0.86
IRES,0.951,0.84,0.445,0.582,0.59
leader,0.96,0.674,0.94,0.785,0.777
