Class Label,Accuracy,Precision,Recall,F1-score,MCC
5S_rRNA,0.995,0.97,0.965,0.967,0.965
5_8S_rRNA,0.996,0.98,0.965,0.972,0.97
tRNA,0.991,0.936,0.945,0.94,0.935
ribozyme,0.985,0.874,0.94,0.906,0.899
CD-box,0.967,0.745,0.86,0.798,0.782
miRNA,0.953,0.719,0.64,0.677,0.653
Intron_gpI,0.987,0.924,0.91,0.917,0.91
Intron_gpII,0.995,0.974,0.955,0.965,0.962
scaRNA,0.977,0.846,0.85,0.848,0.835
HACA-box,0.964,0.756,0.79,0.773,0.753
riboswitch,0.97,0.814,0.79,0.802,0.786
IRES,0.982,0.923,0.841,0.88,0.872
leader,0.985,0.905,0.9,0.902,0.894
